Dataset,Model,VaR_alpha,Avg_VaR,Avg_ES,CovP,ViolationRate,CRPS,ES_Loss,N,Violations
synthetic_regime_garch,"EGARCH(2,1)-t",0.01,-1.0109137622465834,-1.6343081766829066,0.0,0.0,0.1849843808183138,0.0,630,0
synthetic_regime_garch,"Generalized-GARCH(2,2)-t",0.01,-1.0188187999747544,-1.6470879688656002,0.0,0.0,0.1851238064994211,0.0,630,0
synthetic_regime_garch,"GARCH(1,2)-t",0.01,-1.0188110412903266,-1.6470754256775717,0.0,0.0,0.1851239461879781,0.0,630,0
synthetic_regime_garch,"Threshold-GARCH(1,1)-t",0.01,-0.9608279084205416,-1.55333616551735,0.0015873015873015,0.0015873015873015,0.1857664746133965,0.0008949081352946,630,1
synthetic_regime_garch,"EGARCH(1,1)-t",0.01,-1.014375544219258,-1.6399047159675846,0.0,0.0,0.1862073780002161,0.0,630,0
synthetic_regime_garch,"FIGARCH(1,1)-t",0.01,-1.0409153890523892,-1.6828107352924089,0.0,0.0,0.1862290942453487,0.0,630,0
synthetic_regime_garch,"GJR-GARCH(1,1)-t",0.01,-1.011524283388597,-1.6352951844096713,0.0,0.0,0.1865288019613125,0.0,630,0
synthetic_regime_garch,"APGARCH/APARCH(1,1)-t",0.01,-1.0172381515029834,-1.644532590930952,0.0,0.0,0.1866160842027877,0.0,630,0
synthetic_regime_garch,"APGARCH/APARCH(2,1)-t",0.01,-1.0172143952166612,-1.644494184991263,0.0,0.0,0.1866161039816272,0.0,630,0
synthetic_regime_garch,"GARCH(2,1)-t",0.01,-1.0184336749638792,-1.6464653510144802,0.0,0.0,0.1867978297453956,0.0,630,0
synthetic_regime_garch,"GARCH(1,1)-t",0.01,-1.0184319260656929,-1.6464625236332395,0.0,0.0,0.186798176178063,0.0,630,0
synthetic_regime_garch,"ARMA(1,1)-REGARCH-t",0.01,-2.1685811748986237,-3.505867738966397,0.0,0.0,0.2586115428940881,0.0,653,0
synthetic_regime_garch,"ARMA(1,1)-RGARCH-t",0.01,-3.467082038895773,-5.605107712457551,0.0,0.0,0.3504614831294311,0.0,653,0
synthetic_regime_garch,RGARCH-t,0.01,-3.8520372483793626,-6.22745105173267,0.0,0.0,0.380009786971918,0.0,653,0
synthetic_regime_garch,REGARCH-t,0.01,-4.008058464611517,-6.479684980032902,0.0,0.0,0.3920319576088429,0.0,653,0
synthetic_regime_garch,HAR-RV,0.01,-4.759286615296926,-7.694168702651438,0.0,0.0,0.4505697284547758,0.0,653,0
synthetic_sv_jump_t,"Threshold-GARCH(1,1)-t",0.01,-0.4000552933080774,-0.6205332840481044,0.0031746031746031,0.0031746031746031,0.0801826612858158,0.000874785918805,630,2
synthetic_sv_jump_t,"APGARCH/APARCH(1,1)-t",0.01,-0.437222752457386,-0.6781844284559929,0.0,0.0,0.0806958951808429,0.0,630,0
synthetic_sv_jump_t,"GARCH(1,1)-t",0.01,-0.4491220777703436,-0.696641695583615,0.0,0.0,0.0808444866302594,0.0,630,0
synthetic_sv_jump_t,"GARCH(1,2)-t",0.01,-0.4491221573081239,-0.6966418189561607,0.0,0.0,0.0808446102861521,0.0,630,0
synthetic_sv_jump_t,"GJR-GARCH(1,1)-t",0.01,-0.4488015181819277,-0.6961444695814593,0.0,0.0,0.0808517745865745,0.0,630,0
synthetic_sv_jump_t,"FIGARCH(1,1)-t",0.01,-0.448283151039847,-0.6953404205652393,0.0,0.0,0.0810845384481681,0.0,630,0
synthetic_sv_jump_t,"GARCH(2,1)-t",0.01,-0.4477582890365051,-0.6945262972476534,0.0,0.0,0.0818513770703324,0.0,630,0
synthetic_sv_jump_t,"APGARCH/APARCH(2,1)-t",0.01,-0.4386837552464681,-0.6804506173400743,0.0015873015873015,0.0015873015873015,0.081940794444822,0.0008766040488919,630,1
synthetic_sv_jump_t,"Generalized-GARCH(2,2)-t",0.01,-0.4477773991435337,-0.6945559392938185,0.0,0.0,0.0819543125894383,0.0,630,0
synthetic_sv_jump_t,"EGARCH(1,1)-t",0.01,-0.6484797330654727,-1.005869101419114,0.0,0.0,0.0854750605997828,0.0,630,0
synthetic_sv_jump_t,"EGARCH(2,1)-t",0.01,-0.6426318078476172,-0.9967982747083944,0.0,0.0,0.0861984372432674,0.0,630,0
synthetic_sv_jump_t,REGARCH-t,0.01,-1.2976846116422514,-2.0128629896691246,0.001531393568147,0.001531393568147,0.1303773988935576,0.0007390135597072,653,1
synthetic_sv_jump_t,"ARMA(1,1)-REGARCH-t",0.01,-1.3055752378231302,-2.0251022882339007,0.001531393568147,0.001531393568147,0.1308667008890126,0.0006640299177392,653,1
synthetic_sv_jump_t,HAR-RV,0.01,-2.195576520427943,-3.4056000042745915,0.009188361408882,0.009188361408882,0.1954473290097871,0.0006975168978744,653,6
synthetic_sv_jump_t,"ARMA(1,1)-RGARCH-t",0.01,-2.317742873834162,-3.5950945310248312,0.001531393568147,0.001531393568147,0.2065793986170688,0.0005441084049986,653,1
synthetic_sv_jump_t,RGARCH-t,0.01,-3.0243879045601294,-4.691184918797747,0.0,0.0,0.260380936199832,0.0,653,0
synthetic_rough_long_memory,"EGARCH(2,1)-t",0.01,-0.3853631961940383,-0.5818149786598652,0.0,0.0,0.0697361104735217,0.0,630,0
synthetic_rough_long_memory,"GARCH(1,2)-t",0.01,-0.3924520840491525,-0.5925176642740584,0.0,0.0,0.0706839669965867,0.0,630,0
synthetic_rough_long_memory,"Generalized-GARCH(2,2)-t",0.01,-0.3924527383953289,-0.5925186521950908,0.0,0.0,0.070684068873417,0.0,630,0
synthetic_rough_long_memory,"Threshold-GARCH(1,1)-t",0.01,-0.3538457342291926,-0.5342304359697619,0.0047619047619047,0.0047619047619047,0.0709418195777995,0.0007516086536107,630,3
synthetic_rough_long_memory,"APGARCH/APARCH(1,1)-t",0.01,-0.3734982426906661,-0.5639014681390294,0.0015873015873015,0.0015873015873015,0.0709817311923289,0.000430392469139,630,1
synthetic_rough_long_memory,"APGARCH/APARCH(2,1)-t",0.01,-0.3734935350562297,-0.5638943606304344,0.0015873015873015,0.0015873015873015,0.0709817458951256,0.0004303510391177,630,1
synthetic_rough_long_memory,"EGARCH(1,1)-t",0.01,-0.3865471601343238,-0.5836025078309289,0.0031746031746031,0.0031746031746031,0.07111389506715,0.0007152422148159,630,2
synthetic_rough_long_memory,"GJR-GARCH(1,1)-t",0.01,-0.3929516898568668,-0.5932719608577084,0.0,0.0,0.0712148050843057,0.0,630,0
synthetic_rough_long_memory,"GARCH(1,1)-t",0.01,-0.3926802612761153,-0.5928621624766558,0.0,0.0,0.0712166722869526,0.0,630,0
synthetic_rough_long_memory,"GARCH(2,1)-t",0.01,-0.3926826114039979,-0.5928657106608555,0.0,0.0,0.0712167923484589,0.0,630,0
synthetic_rough_long_memory,"FIGARCH(1,1)-t",0.01,-0.3928091043438482,-0.5930566876089045,0.0,0.0,0.0712214083795028,0.0,630,0
synthetic_rough_long_memory,"ARMA(1,1)-RGARCH-t",0.01,-1.182542223639414,-1.7853826867906768,0.0,0.0,0.1170997942423343,0.0,653,0
synthetic_rough_long_memory,RGARCH-t,0.01,-1.37166302066312,-2.0709141375654423,0.0,0.0,0.1316911267695246,0.0,653,0
synthetic_rough_long_memory,REGARCH-t,0.01,-1.5227042834091418,-2.2989537374266797,0.0,0.0,0.1423601231261011,0.0,653,0
synthetic_rough_long_memory,HAR-RV,0.01,-1.747866390812421,-2.638899762391364,0.0,0.0,0.159759002670811,0.0,653,0
