Dataset,Model,RMSE,MAE,MAPE,QLIKE
synthetic_regime_garch,HAR-RV,2.196959879681056,0.6293497921435589,20.690353575054836,1.8021753975171624
synthetic_regime_garch,RGARCH-t,4.014315888858618,1.37996119668906,22.196252329097938,1.845179549653328
synthetic_regime_garch,"ARMA(1,1)-RGARCH-t",4.30990913638542,1.4711888725755369,23.00856397480628,1.851431206399781
synthetic_regime_garch,REGARCH-t,5.711076985775734,1.7976623687482,27.73547079783413,1.864979114763898
synthetic_regime_garch,"ARMA(1,1)-REGARCH-t",9.21084714996294,3.66159797992423,63.38391614903076,3.1244287111847373
synthetic_regime_garch,"Generalized-GARCH(2,2)-t",10.005639033912331,4.434849656401281,94.45196638454291,17.187833620436358
synthetic_regime_garch,"GARCH(1,1)-t",10.005878709893818,4.434765890645029,94.44439437326828,17.162422666248244
synthetic_regime_garch,"GARCH(2,1)-t",10.005880264323668,4.434766132325066,94.4443977402383,17.162405333336103
synthetic_regime_garch,"GARCH(1,2)-t",10.011473943997595,4.435427036841554,94.42996991757887,17.221011402600325
synthetic_regime_garch,"GJR-GARCH(1,1)-t",10.019212339216072,4.440864469873371,94.4625785793064,17.34357000669677
synthetic_regime_garch,"FIGARCH(1,1)-t",10.030057359429078,4.430272196216048,93.66284582574582,15.783324997409212
synthetic_regime_garch,"APGARCH/APARCH(2,1)-t",10.036220100661172,4.447189141413191,94.5171597514118,17.594490178730496
synthetic_regime_garch,"APGARCH/APARCH(1,1)-t",10.036221977299862,4.447188895106624,94.51704001392334,17.594223241224785
synthetic_regime_garch,"EGARCH(1,1)-t",10.09349610449972,4.458268100229895,94.2486602098255,17.138715231980488
synthetic_regime_garch,"EGARCH(2,1)-t",10.103714187902243,4.460250132669934,94.2493613747477,17.19114184885701
synthetic_regime_garch,"Threshold-GARCH(1,1)-t",10.17421695073024,4.490898983176532,94.5329447776816,19.23241455564635
synthetic_sv_jump_t,HAR-RV,0.2047375727495606,0.1020313085401672,25.30348968235196,1189721465.9447808
synthetic_sv_jump_t,"ARMA(1,1)-RGARCH-t",0.3786165937171331,0.2892017061284406,61.20904077690634,1.587406350236393
synthetic_sv_jump_t,REGARCH-t,0.6543789225355255,0.44934583420391,54.305091716834454,0.9587209836320112
synthetic_sv_jump_t,"ARMA(1,1)-REGARCH-t",0.7899741809058083,0.5608662944846228,70.41994493167726,2.7723206118197683
synthetic_sv_jump_t,RGARCH-t,0.8117393283711215,0.6043405587267439,89.29523126764566,8.21658088575879
synthetic_sv_jump_t,"EGARCH(1,1)-t",0.8455865409088388,0.6305599320453117,90.02479439731773,12.518554501252115
synthetic_sv_jump_t,"EGARCH(2,1)-t",0.8467602662451882,0.6317294538236691,90.21186271602008,12.96480499656312
synthetic_sv_jump_t,"APGARCH/APARCH(1,1)-t",0.8751253323541649,0.6519534681008525,92.08271828234562,21.93669286557108
synthetic_sv_jump_t,"GARCH(2,1)-t",0.8812870533024161,0.66095022433086,94.94281808814507,27.438882197780774
synthetic_sv_jump_t,"GARCH(1,2)-t",0.8813427036560398,0.6609290035090707,94.92269699100989,25.978446958016978
synthetic_sv_jump_t,"GARCH(1,1)-t",0.8813427915634267,0.6609291649003736,94.92276201423098,25.977335378478273
synthetic_sv_jump_t,"Generalized-GARCH(2,2)-t",0.8813593072676101,0.6609727316581664,94.94149834337315,26.628889085394693
synthetic_sv_jump_t,"FIGARCH(1,1)-t",0.8815725987941914,0.6610461678896529,94.90875552033802,26.249895341272968
synthetic_sv_jump_t,"GJR-GARCH(1,1)-t",0.8818262759554577,0.6612212916343024,94.94473597326318,26.160616466124832
synthetic_sv_jump_t,"APGARCH/APARCH(2,1)-t",0.8859675402477704,0.6640301000741283,95.23008869630786,30.78321005347067
synthetic_sv_jump_t,"Threshold-GARCH(1,1)-t",0.8953581102991136,0.6700247414342101,95.62303445664708,35.616400413049995
synthetic_rough_long_memory,HAR-RV,0.1190921388037688,0.0552944758824542,22.412119498616683,-0.3352444412153539
synthetic_rough_long_memory,"ARMA(1,1)-RGARCH-t",0.2514197298527273,0.1243081458410387,23.90941983921992,-0.2987777765104861
synthetic_rough_long_memory,REGARCH-t,0.2957002792001073,0.1398789900472196,35.13172020464066,-0.2661905876357403
synthetic_rough_long_memory,RGARCH-t,0.3178922668390732,0.1923087860286652,43.946564837183715,-0.0940528874511685
synthetic_rough_long_memory,"ARMA(1,1)-REGARCH-t",0.4916280459896757,0.3257316318971447,83.01641570635876,3.5245430866444933
synthetic_rough_long_memory,"FIGARCH(1,1)-t",0.560971704116106,0.3725444979335521,94.15102986007396,14.347136529722349
synthetic_rough_long_memory,"GARCH(2,1)-t",0.560976186551358,0.3725554264624968,94.1578913130864,14.36515350428191
synthetic_rough_long_memory,"GARCH(1,1)-t",0.5609766417635152,0.3725558319051846,94.158082989146,14.36559817994013
synthetic_rough_long_memory,"GJR-GARCH(1,1)-t",0.5609775579721437,0.3725558415486274,94.1578930602677,14.365141140277371
synthetic_rough_long_memory,"GARCH(1,2)-t",0.5610534851529675,0.372559086635871,94.14866545608636,14.410869901943013
synthetic_rough_long_memory,"Generalized-GARCH(2,2)-t",0.5610535180793407,0.3725591068931598,94.14867356196544,14.41090269453125
synthetic_rough_long_memory,"EGARCH(1,1)-t",0.563379325377029,0.3726242706159142,93.74935881934326,13.700532390139578
synthetic_rough_long_memory,"APGARCH/APARCH(2,1)-t",0.5635258106211801,0.3739029789368875,94.38000399809351,15.227096911006374
synthetic_rough_long_memory,"APGARCH/APARCH(1,1)-t",0.5635260817922599,0.373903092230094,94.3800111754306,15.227157457108246
synthetic_rough_long_memory,"EGARCH(2,1)-t",0.5635535115355699,0.3726926881977241,93.7589723271243,13.96583463665917
synthetic_rough_long_memory,"Threshold-GARCH(1,1)-t",0.5699015017910414,0.3762689585604053,94.2616071643098,16.508459989677046
