Dataset,Model,RMSE,MAE,MAPE,QLIKE
synthetic_regime_garch,HAR-RV,2.615786919921332,0.7211968990381342,9.190797888103138,2.5153331323056176
synthetic_regime_garch,Naive-RV,2.698079094644373,0.6446780105293587,6.491821579527201,2.5131117021609297
synthetic_regime_garch,RGARCH-t,4.01883476332171,1.626944840338189,18.453643645396205,2.52603233686803
synthetic_regime_garch,"ARMA(1,1)-RGARCH-t",9.681327397538071,4.242309099218796,27.33375110657849,2.599603030725474
synthetic_regime_garch,"FIGARCH(1,1)-t",13.47854483243364,7.056351970693004,96.99440875566184,39.80420448129498
synthetic_regime_garch,"GARCH(1,2)-t",13.480112308858146,7.064316115733517,97.26095918657208,43.653844765664154
synthetic_regime_garch,"Generalized-GARCH(2,2)-t",13.480114727611488,7.064315553851916,97.26090686335984,43.65390831040527
synthetic_regime_garch,"GARCH(1,1)-t",13.48174629530336,7.064732907715801,97.25827417386508,43.97798301104995
synthetic_regime_garch,"GARCH(2,1)-t",13.481748130787198,7.064731931953669,97.25821028302131,43.97775828928168
synthetic_regime_garch,"APGARCH/APARCH(1,1)-t",13.490604256439257,7.068447440468595,97.25356617243352,44.46227341227657
synthetic_regime_garch,"APGARCH/APARCH(2,1)-t",13.490608123965464,7.0684472393021895,97.25347996714542,44.46145178714315
synthetic_regime_garch,"GJR-GARCH(1,1)-t",13.491135977684284,7.068843474232803,97.25918658577127,44.54269849464555
synthetic_regime_garch,"EGARCH(2,1)-t",13.50690974459599,7.071859480864424,97.1537236892135,42.9152126494991
synthetic_regime_garch,"EGARCH(1,1)-t",13.507210606907016,7.071735497891589,97.1452655449746,43.034029638720696
synthetic_regime_garch,"Threshold-GARCH(1,1)-t",13.537963206783088,7.087488765773468,97.15883865783492,46.30188073901164
synthetic_regime_garch,REGARCH-t,17.83244043477457,8.71819893836618,72.58945101338917,4.9031980737313
synthetic_regime_garch,"ARMA(1,1)-REGARCH-t",17.989659734431264,8.904546185816649,77.54627720493227,5.564389906475068
synthetic_sv_jump_t,Naive-RV,0.207464970720559,0.098433596432838,8.706080443013855,1.0419381780419443
synthetic_sv_jump_t,HAR-RV,0.2182771168025137,0.108313195492206,9.870799445457948,845248691.6842512
synthetic_sv_jump_t,RGARCH-t,0.4355715115881917,0.3601356562180092,37.791727473874545,1.3552079165901028
synthetic_sv_jump_t,"ARMA(1,1)-RGARCH-t",1.1617278707136844,0.9428163203903418,62.880667598881814,1.7812312787318445
synthetic_sv_jump_t,"ARMA(1,1)-REGARCH-t",1.3020699574078487,1.016753904350001,57.5262552318008,1.9248287095446768
synthetic_sv_jump_t,REGARCH-t,1.3105296914558229,1.0213558593654102,57.18150658889319,2.084089233214679
synthetic_sv_jump_t,"EGARCH(1,1)-t",1.6537969288183223,1.328524601519979,94.0179704817616,30.29787801873112
synthetic_sv_jump_t,"EGARCH(2,1)-t",1.6559828471472289,1.3305958619963878,94.16443390297522,31.47235282062992
synthetic_sv_jump_t,"APGARCH/APARCH(1,1)-t",1.6814105582776688,1.3556704540971969,95.6622628632352,45.13060600094815
synthetic_sv_jump_t,"APGARCH/APARCH(2,1)-t",1.6821499438066916,1.3562372714690465,95.70686870861104,46.01810339635136
synthetic_sv_jump_t,"GARCH(1,1)-t",1.6987723582817171,1.3709081728013743,97.42636898141104,71.3928771907014
synthetic_sv_jump_t,"GARCH(1,2)-t",1.698772364642977,1.37090813399654,97.42636070530033,71.39404419994987
synthetic_sv_jump_t,"GARCH(2,1)-t",1.6988077844572158,1.3709315765597716,97.42845103956338,73.52401286009304
synthetic_sv_jump_t,"GJR-GARCH(1,1)-t",1.6988108831042892,1.3709650508867124,97.43020861205432,71.24417393680893
synthetic_sv_jump_t,"Generalized-GARCH(2,2)-t",1.698819006167581,1.3709707054741422,97.43669531862624,72.54458430925096
synthetic_sv_jump_t,"FIGARCH(1,1)-t",1.69904729360735,1.3711040351275257,97.43964882514496,70.61314327039592
synthetic_sv_jump_t,"Threshold-GARCH(1,1)-t",1.7092050166606991,1.379323476389552,97.7979199717588,81.38531510618058
synthetic_rough_long_memory,HAR-RV,0.1403125819889897,0.0657189428016173,8.250716535892673,0.6348647671765629
synthetic_rough_long_memory,Naive-RV,0.1425321735706691,0.0607314190816926,7.167583342180526,0.6347230199920038
synthetic_rough_long_memory,RGARCH-t,0.407874463480236,0.2976712831682357,30.53922103761569,0.7201976317055258
synthetic_rough_long_memory,"ARMA(1,1)-RGARCH-t",0.5022959951614735,0.3812851044314067,40.93493320508685,0.8243890767145172
synthetic_rough_long_memory,"ARMA(1,1)-REGARCH-t",0.8597984761675506,0.6163567393628681,58.34810505856037,1.3229607576652296
synthetic_rough_long_memory,REGARCH-t,1.006292519026977,0.7643026837606417,79.83183866874384,3.238526905277746
synthetic_rough_long_memory,"FIGARCH(1,1)-t",1.2302847372403856,0.9550682044826316,97.33695901784388,38.68376627856433
synthetic_rough_long_memory,"GARCH(1,1)-t",1.2307724966322937,0.9554436495311032,97.37360904979036,39.24618276762764
synthetic_rough_long_memory,"GARCH(2,1)-t",1.230772801393477,0.9554438041367812,97.37360449798231,39.24626234247025
synthetic_rough_long_memory,"GARCH(1,2)-t",1.230808460185218,0.9554573910128872,97.37429557361554,39.31562119541233
synthetic_rough_long_memory,"Generalized-GARCH(2,2)-t",1.2308098961755112,0.9554584672529748,97.3743928650053,39.31735009791935
synthetic_rough_long_memory,"GJR-GARCH(1,1)-t",1.2309416709994336,0.9555281655029988,97.37801408701984,39.284267801460274
synthetic_rough_long_memory,"EGARCH(1,1)-t",1.2345395809998858,0.9571642158249812,97.42205410355352,39.62538583228232
synthetic_rough_long_memory,"EGARCH(2,1)-t",1.234642774219579,0.9571881059833108,97.41970988495008,40.108392641412856
synthetic_rough_long_memory,"APGARCH/APARCH(1,1)-t",1.2351661005097088,0.958279665474146,97.58754028350717,42.71466817105464
synthetic_rough_long_memory,"APGARCH/APARCH(2,1)-t",1.235166267241942,0.9582798643382368,97.58756456509428,42.714902773792545
synthetic_rough_long_memory,"Threshold-GARCH(1,1)-t",1.2405054580207433,0.961300200556418,97.7326640546532,46.8907867744319
